date,1. open,2. high,3. low,4. close,5. volume
2020-06-29,353.25,362.1736,351.28,361.78,32661519.0
2020-06-30,360.08,365.98,360.0,364.8,35055821.0
2020-07-01,365.12,367.36,363.91,364.11,27690454.0
2020-07-02,367.85,370.47,363.64,364.11,28814516.0
2020-07-06,370.0,375.78,369.87,373.85,29745936.0
2020-07-07,375.41,378.62,372.23,372.69,28206999.0
2020-07-08,376.72,381.5,376.36,381.37,29274479.0
2020-07-09,385.05,385.27,378.69,383.01,31420357.0
2020-07-10,381.34,383.92,378.82,383.68,22564330.0
2020-07-13,389.06,399.82,381.03,381.91,47913079.0
2020-07-14,379.36,389.02,375.51,388.23,42748119.0
2020-07-15,395.96,396.99,385.96,390.9,38306874.0
2020-07-16,386.25,389.62,383.62,386.09,27645927.0
2020-07-17,387.95,388.59,383.36,385.31,23046755.0
2020-07-20,385.67,394.0,384.25,393.43,22397208.0
2020-07-21,396.69,397.0,386.97,388.0,25627347.0
2020-07-22,386.77,391.9,386.41,389.09,22250413.0
2020-07-23,387.9935,388.31,368.039,371.38,49251108.0
2020-07-24,363.95,371.88,356.58,370.46,46359716.0
2020-07-27,374.84,379.62,373.92,379.24,30303548.0
2020-07-28,377.47,378.1986,372.99,373.01,25906375.0
2020-07-29,375.0,380.92,374.85,380.16,22582314.0
2020-07-30,376.75,385.19,375.07,384.76,39532505.0
2020-07-31,411.535,425.66,403.3,425.04,93573867.0
2020-08-03,432.8,446.5457,431.57,435.75,77037847.0
2020-08-04,436.53,443.16,433.55,438.66,43198092.0
2020-08-05,437.51,441.57,435.59,440.25,30497988.0
2020-08-06,441.62,457.65,439.19,455.61,50607225.0
2020-08-07,452.82,454.7,441.17,444.45,49511403.0
2020-08-10,450.4,455.1,440.0,450.91,53100856.0
2020-08-11,447.875,449.93,436.4267,437.5,46975594.0
2020-08-12,441.99,453.1,441.19,452.04,41486205.0
2020-08-13,457.72,464.17,455.71,460.04,52520516.0
2020-08-14,459.315,460.0,452.18,459.63,41391302.0
2020-08-17,464.25,464.35,455.8501,458.43,29431414.0
2020-08-18,457.41,464.0,456.03,462.25,26408385.0
2020-08-19,463.933,468.65,462.44,462.83,36384502.0
2020-08-20,463.0,473.568,462.9335,473.1,31726797.0
2020-08-21,477.05,499.472,477.0,497.48,84513660.0
2020-08-24,514.79,515.14,495.745,503.43,86484442.0
2020-08-25,498.79,500.7172,492.21,499.3,52873947.0
2020-08-26,504.7165,507.97,500.33,506.09,40755567.0
2020-08-27,508.57,509.94,495.33,500.04,38888096.0
2020-08-28,504.05,505.77,498.31,499.23,46907479.0
2020-08-31,127.58,131.0,126.0,129.04,223505733.0
2020-09-01,132.76,134.8,130.53,134.18,152470142.0
2020-09-02,137.59,137.98,127.0,131.4,200118991.0
2020-09-03,126.91,128.84,120.5,120.88,257599640.0
2020-09-04,120.07,123.7,110.89,120.96,332607163.0
2020-09-08,113.95,118.99,112.68,112.82,231366563.0
2020-09-09,117.26,119.14,115.26,117.32,176940455.0
2020-09-10,120.36,120.5,112.5,113.49,182274391.0
2020-09-11,114.57,115.23,110.0,112.0,180860325.0
2020-09-14,114.72,115.93,112.8,115.355,140150087.0
2020-09-15,118.33,118.829,113.61,115.54,184642039.0
2020-09-16,115.23,116.0,112.04,112.13,155026675.0
2020-09-17,109.72,112.2,108.71,110.34,178010968.0
2020-09-18,110.4,110.88,106.09,106.84,287104882.0
