date,1. open,2. high,3. low,4. close,5. volume
2020-06-12,1425.86,1434.51,1385.8,1412.92,1833756.0
2020-06-15,1389.49,1425.0,1387.2,1420.74,1527652.0
2020-06-16,1449.0,1457.17,1428.99,1446.47,1534826.0
2020-06-17,1452.94,1462.2,1435.12,1452.54,1530500.0
2020-06-18,1449.85,1452.97,1426.23,1434.12,1743071.0
2020-06-19,1440.0,1444.5,1419.0,1424.64,2639167.0
2020-06-22,1425.01,1450.95,1419.19,1450.66,1472072.0
2020-06-23,1452.0,1475.2,1445.0,1463.98,1887583.0
2020-06-24,1463.28,1475.79,1430.0,1432.7,1579579.0
2020-06-25,1431.22,1442.32,1419.54,1441.1,1197907.0
2020-06-26,1432.63,1437.02,1355.0,1362.54,4882014.0
2020-06-29,1360.34,1398.0,1351.65,1397.17,2253678.0
2020-06-30,1396.88,1424.0,1386.93,1418.05,2014320.0
2020-07-01,1419.17,1448.48,1414.18,1442.0,2109566.0
2020-07-02,1451.84,1488.52,1451.07,1469.93,2861202.0
2020-07-06,1488.15,1510.0,1476.98,1499.65,2235630.0
2020-07-07,1496.13,1521.32,1489.7,1489.92,2118194.0
2020-07-08,1500.8,1511.17,1492.3,1503.6,1588304.0
2020-07-09,1509.93,1529.14,1495.59,1518.66,2092013.0
2020-07-10,1513.25,1541.34,1500.72,1539.01,1796063.0
2020-07-13,1549.94,1576.36,1506.56,1512.23,2147729.0
2020-07-14,1492.79,1522.8,1485.93,1520.86,1905405.0
2020-07-15,1523.23,1536.33,1497.83,1516.88,1551326.0
2020-07-16,1501.5,1515.91,1488.27,1514.92,1324228.0
2020-07-17,1516.91,1523.43,1498.1,1516.85,1713251.0
2020-07-20,1515.0,1569.01,1502.7,1563.84,1490634.0
2020-07-21,1585.03,1587.05,1552.62,1555.92,1328089.0
2020-07-22,1555.71,1566.98,1543.23,1564.85,1224100.0
2020-07-23,1565.93,1570.35,1508.59,1516.75,1695498.0
2020-07-24,1499.19,1515.4273,1487.59,1508.21,1495381.0
2020-07-27,1513.26,1537.56,1512.33,1529.43,1356185.0
2020-07-28,1525.0,1526.01,1500.52,1503.65,1545534.0
2020-07-29,1505.0,1533.33,1503.01,1523.51,1133773.0
2020-07-30,1497.97,1540.89,1495.17,1538.37,1802121.0
2020-07-31,1497.05,1505.02,1454.0,1487.95,4576382.0
2020-08-03,1491.0,1497.73,1471.72,1482.76,2276085.0
2020-08-04,1486.71,1493.11,1464.03,1473.3,1860609.0
2020-08-05,1476.82,1490.0,1471.215,1479.09,1457518.0
2020-08-06,1476.15,1506.27,1471.9,1504.95,1665261.0
2020-08-07,1509.04,1520.09,1486.27,1498.37,1386294.0
2020-08-10,1490.8,1507.15,1477.4901,1496.82,1027329.0
2020-08-11,1494.0,1510.44,1478.19,1480.54,1554853.0
2020-08-12,1487.1245,1511.67,1485.0,1507.24,1126560.0
2020-08-13,1508.21,1536.9744,1508.21,1516.65,1119711.0
2020-08-14,1513.61,1519.785,1499.0,1504.63,1097059.0
2020-08-17,1515.97,1523.78,1505.0,1516.24,998010.0
2020-08-18,1526.12,1557.37,1521.665,1555.78,1418850.0
2020-08-19,1552.49,1568.86,1540.0,1544.61,1523592.0
2020-08-20,1539.97,1580.17,1534.46,1576.25,1319131.0
2020-08-21,1571.8,1591.88,1562.31,1575.57,1742275.0
2020-08-24,1592.47,1608.78,1575.04,1585.15,1281893.0
2020-08-25,1580.1,1608.88,1577.88,1605.85,1257463.0
2020-08-26,1606.3,1652.79,1600.9754,1644.13,2609363.0
2020-08-27,1646.61,1647.99,1618.8137,1628.52,1567503.0
2020-08-28,1629.47,1641.35,1625.605,1639.43,1121195.0
2020-08-31,1643.57,1644.5,1625.33,1629.53,1321097.0
2020-09-01,1632.16,1659.22,1629.53,1655.08,1133766.0
2020-09-02,1668.01,1726.1022,1660.19,1717.39,2476072.0
2020-09-03,1699.52,1700.0,1607.71,1629.51,3186287.0
2020-09-04,1609.0,1634.99,1537.9701,1581.21,2792533.0
2020-09-08,1525.0,1555.55,1516.5,1523.6,2701586.0
2020-09-09,1548.9,1558.72,1525.17,1547.23,1962078.0
2020-09-10,1550.18,1573.66,1520.0,1526.05,1651194.0
2020-09-11,1528.15,1538.695,1493.02,1515.76,1535337.0
2020-09-14,1531.6471,1557.0,1505.11,1508.83,2133007.0
2020-09-15,1527.89,1550.99,1522.1,1535.12,1152055.0
2020-09-16,1542.48,1554.37,1511.59,1512.09,1107169.0
2020-09-17,1485.81,1498.66,1462.46,1487.04,2000356.0
2020-09-18,1488.3,1495.2,1431.62,1451.09,3152788.0
